OrderId, Date, Customer, Product, Category, Quantity, Price 
1002,2023-03-04,Amit Sharma,Marker,Stationery,4,35
1006,2023-04-12,Rahul Mehta,Marker,Stationery,1,35
1007,2023-04-05,Amit Sharma,Notebook,Stationery,3,99
1008,2023-04-23,Amit Sharma,Marker,Stationery,1,35
1014,2023-05-29,Rohit Gupta,Notebook,Stationery,2,99
1015,2023-11-25,Priya Singh,Marker,Stationery,3,35
1016,2023-03-04,Priya Singh,Marker,Stationery,4,35
1024,2023-08-02,Amit Sharma,Pen,Stationery,5,20
1025,2023-09-20,Neha Verma,Notebook,Stationery,3,99
1026,2023-05-15,Rohit Gupta,Notebook,Stationery,5,99
1031,2023-07-02,Rohit Gupta,Pen,Stationery,1,20
1034,2023-09-15,Rahul Mehta,Notebook,Stationery,4,99
1036,2023-12-14,Amit Sharma,Notebook,Stationery,3,99
1037,2023-06-03,Neha Verma,Notebook,Stationery,1,99
1038,2023-01-27,Neha Verma,Marker,Stationery,1,35
1041,2023-01-27,Anjali Chauhan,Notebook,Stationery,5,99
1042,2023-06-09,Rohit Gupta,Marker,Stationery,2,35
1047,2023-05-02,Rahul Mehta,Marker,Stationery,5,35
1053,2023-08-14,Priya Singh,Notebook,Stationery,3,99
1057,2023-11-14,Priya Singh,Pen,Stationery,1,20
1061,2023-11-22,Rohit Gupta,Notebook,Stationery,5,99
1062,2023-11-07,Neha Verma,Pen,Stationery,1,20
1064,2023-12-31,Neha Verma,Notebook,Stationery,4,99
1065,2023-05-27,Amit Sharma,Pen,Stationery,3,20
1077,2023-12-29,Amit Sharma,Pen,Stationery,1,20
1078,2023-07-29,Anjali Chauhan,Marker,Stationery,1,35
1088,2023-01-08,Rahul Mehta,Notebook,Stationery,2,99
1094,2023-08-29,Rohit Gupta,Marker,Stationery,4,35
1098,2023-06-11,Amit Sharma,Marker,Stationery,1,35
1099,2023-12-19,Rahul Mehta,Marker,Stationery,3,35
1100,2023-03-08,Priya Singh,Notebook,Stationery,2,99
1102,2023-03-05,Rohit Gupta,Pen,Stationery,4,20
1107,2023-01-10,Rahul Mehta,Notebook,Stationery,1,99
1108,2023-03-08,Neha Verma,Marker,Stationery,3,35
1112,2023-06-22,Amit Sharma,Notebook,Stationery,4,99
1113,2023-10-11,Rohit Gupta,Notebook,Stationery,2,99
1114,2023-11-16,Rohit Gupta,Marker,Stationery,2,35
1117,2023-10-16,Anjali Chauhan,Marker,Stationery,2,35
1118,2023-06-27,Rahul Mehta,Marker,Stationery,5,35
1119,2023-03-25,Neha Verma,Pen,Stationery,4,20
1120,2023-04-27,Rohit Gupta,Marker,Stationery,5,35
1121,2023-05-21,Neha Verma,Pen,Stationery,5,20
1123,2023-06-26,Neha Verma,Notebook,Stationery,3,99
1127,2023-07-10,Neha Verma,Pen,Stationery,4,20
1129,2023-12-05,Rahul Mehta,Marker,Stationery,4,35
1131,2023-08-25,Priya Singh,Marker,Stationery,3,35
1133,2023-12-13,Rohit Gupta,Notebook,Stationery,3,99
1141,2023-03-18,Rahul Mehta,Pen,Stationery,4,20
1146,2023-04-16,Rohit Gupta,Notebook,Stationery,1,99
1149,2023-06-24,Rohit Gupta,Marker,Stationery,4,35
1151,2023-10-08,Priya Singh,Pen,Stationery,4,20
1152,2023-06-07,Amit Sharma,Notebook,Stationery,2,99
1154,2023-01-05,Rohit Gupta,Marker,Stationery,5,35
1156,2023-02-01,Rahul Mehta,Pen,Stationery,3,20
1159,2023-08-11,Neha Verma,Marker,Stationery,2,35
1166,2023-04-09,Neha Verma,Notebook,Stationery,5,99
1167,2023-12-05,Anjali Chauhan,Marker,Stationery,1,35
1168,2023-06-23,Amit Sharma,Notebook,Stationery,4,99
1171,2023-07-09,Rohit Gupta,Notebook,Stationery,3,99
1172,2023-07-09,Neha Verma,Marker,Stationery,3,35
1174,2023-05-26,Priya Singh,Marker,Stationery,2,35
1177,2023-07-30,Rohit Gupta,Notebook,Stationery,4,99
1184,2023-09-05,Amit Sharma,Pen,Stationery,5,20
1186,2023-12-26,Rohit Gupta,Notebook,Stationery,1,99
1189,2023-09-19,Rohit Gupta,Marker,Stationery,3,35
1191,2023-08-31,Rahul Mehta,Notebook,Stationery,2,99
1192,2023-02-19,Amit Sharma,Notebook,Stationery,5,99
1194,2023-04-22,Amit Sharma,Pen,Stationery,1,20
1195,2023-09-16,Amit Sharma,Notebook,Stationery,3,99
1198,2023-01-21,Neha Verma,Notebook,Stationery,4,99
1201,2023-09-17,Priya Singh,Marker,Stationery,5,35
1205,2023-07-17,Anjali Chauhan,Pen,Stationery,4,20
1206,2023-03-19,Rahul Mehta,Pen,Stationery,5,20
1215,2023-06-16,Rohit Gupta,Notebook,Stationery,1,99
1216,2023-09-06,Rahul Mehta,Notebook,Stationery,5,99
1218,2023-08-08,Rohit Gupta,Marker,Stationery,4,35
1219,2023-07-05,Rahul Mehta,Marker,Stationery,4,35
1220,2023-09-08,Rohit Gupta,Pen,Stationery,2,20
1221,2023-01-22,Neha Verma,Notebook,Stationery,4,99
1222,2023-10-23,Amit Sharma,Pen,Stationery,4,20
1227,2023-02-03,Neha Verma,Notebook,Stationery,1,99
1229,2023-12-12,Anjali Chauhan,Notebook,Stationery,2,99
1247,2023-12-05,Rahul Mehta,Pen,Stationery,3,20
1248,2023-04-04,Rahul Mehta,Notebook,Stationery,3,99
1251,2023-08-24,Rohit Gupta,Marker,Stationery,4,35
1259,2023-11-16,Neha Verma,Notebook,Stationery,1,99
1260,2023-09-14,Neha Verma,Notebook,Stationery,4,99
1262,2023-01-15,Anjali Chauhan,Pen,Stationery,2,20
1263,2023-02-09,Rohit Gupta,Marker,Stationery,4,35
1264,2023-08-05,Neha Verma,Pen,Stationery,5,20
1271,2023-06-03,Amit Sharma,Pen,Stationery,1,20
1282,2023-08-17,Priya Singh,Marker,Stationery,2,35
1288,2023-07-26,Rohit Gupta,Pen,Stationery,1,20
1294,2023-08-01,Amit Sharma,Marker,Stationery,2,35
1296,2023-05-26,Rohit Gupta,Notebook,Stationery,3,99
1298,2023-02-05,Amit Sharma,Notebook,Stationery,5,99
1299,2023-08-22,Anjali Chauhan,Marker,Stationery,2,35
1301,2023-02-24,Rohit Gupta,Notebook,Stationery,3,99
1317,2023-09-21,Priya Singh,Marker,Stationery,2,35
1318,2023-12-15,Neha Verma,Notebook,Stationery,1,99
1323,2023-05-28,Amit Sharma,Notebook,Stationery,3,99
1325,2023-03-04,Rohit Gupta,Marker,Stationery,1,35
1327,2023-10-10,Anjali Chauhan,Pen,Stationery,4,20
1335,2023-07-01,Amit Sharma,Marker,Stationery,5,35
1342,2023-01-21,Rahul Mehta,Notebook,Stationery,2,99
1343,2023-12-21,Rohit Gupta,Pen,Stationery,4,20
1347,2023-05-05,Anjali Chauhan,Notebook,Stationery,4,99
1348,2023-03-08,Neha Verma,Pen,Stationery,3,20
1349,2023-03-07,Anjali Chauhan,Pen,Stationery,4,20
1354,2023-07-09,Anjali Chauhan,Marker,Stationery,1,35
1356,2023-05-26,Rohit Gupta,Pen,Stationery,2,20
1357,2023-12-29,Neha Verma,Marker,Stationery,2,35
1362,2023-12-10,Rohit Gupta,Notebook,Stationery,3,99
1365,2023-02-02,Rohit Gupta,Pen,Stationery,4,20
